"Koordinatat e për leje , kati 2",,
Nr,x,y
1,7514042.585,4693365.590
2,7514037.259,4693375.881
3,7514035.860,4693375.331
4,7514035.617,4693375.949
5,7514018.652,4693369.288
7,7514025.842,4693350.986
8,7514045.317,4693358.633
