"Koordinatat e për leje , përdhesa",,
Nr,x,y
1,7514042.686,4693365.334
2,7514041.983,4693365.059
3,7514041.275,4693366.876
4,7514039.459,4693366.163
5,7514035.617,4693375.949
6,7514007.132,4693359.002
7,7514008.550,4693365.322
8,7514008.677,4693365.000
9,7514001.850,4693362.319
10,7514006.015,4693358.564
12,7514010.990,4693345.154
14,7514045.317,4693358.633
11,7514008.393,4693355.791
12,7514007.815,4693355.564
13,7514011.689,4693345.697
15,7514010.899,4693345.387
