"Koordinatat e për leje , kati 1",,
Nr,x,y
1,7514043.415,4693368.154
2,7514038.710,4693368.072
3,7514035.617,4693375.949
4,7514008.550,4693365.322
5,7514008.677,4693365.000
6,7514001.864,4693362.325
7,7514003.831,4693360.543
8,7514008.681,4693350.076
9,7514009.640,4693344.624
10,7514046.248,4693358.998
