"Koordinatat e për leje , kati 2",,
Nr,x,y
1,7514042.585,4693365.590
2,7514037.259,4693375.881
3,7514035.860,4693375.331
4,7514035.617,4693375.949
5,7514021.329,4693370.339
6,7514023.125,4693365.765
7,7514022.099,4693365.362
8,7514023.931,4693356.842
9,7514026.268,4693357.760
10,7514028.516,4693352.035
11,7514045.317,4693358.633
12,7514025.842,4693350.985
13,7514018.655,4693369.289
