1,7514042.655,4693365.299,619.176,
2,7514042.031,4693365.087,619.189,
3,7514041.338,4693366.860,619.184,
4,7514039.452,4693366.124,619.175,
5,7514035.619,4693375.917,619.199,
6,7514008.669,4693364.956,619.173,
7,7514008.568,4693365.292,619.167,
8,7514001.886,4693362.306,619.152,
9,7514005.766,4693358.546,619.177,
10,7514010.963,4693345.151,619.170,
11,7514045.316,4693358.570,619.175,
,,,,
