1,4693335.804,7513989.762,618.816,Muri P
2,4693335.78,7513989.84,619.077,Muri L
3,4693335.602,7513989.931,618.903,Kocka 
4,4693335.068,7513991.042,618.902,Puset 
5,4693341.2,7514004.709,619.16,Kocka 
6,4693341.576,7514004.671,619.184,Muri L 
7,4693341.641,7514004.646,618.784,Muri P 
8,4693343.074,7514008.58,619.165,Kocka
9,4693350.575,7514020.321,617.905,Puset 
10,4693350.553,7514020.331,617.869,Puset 
11,4693359.477,7514046.813,617.844,Muri P
12,4693359.939,7514047.976,618.179,Muri L
13,4693360.193,7514046.356,617.859,E1
14,4693360.111,7514048.4,616.794,E0
15,4693358.069,7514051.09,616.785,E0
16,4693356.781,7514049.062,616.722,Muri P
17,4693361.564,7514055.173,616.602,E0
18,4693368.58,7514052.8,616.627,E0
19,4693366.648,7514045.315,616.987,E0
20,4693385.01,7514044.586,616.672,E0
21,4693378.427,7514043.518,616.629,E0
22,4693374.192,7514041.914,617.627,E0
23,4693373.112,7514040.469,618.347,E1
24,4693378.077,7514037.327,618.67,E1
25,4693379.21,7514035.197,617.65,E0
26,4693378.913,7514031.97,617.996,Muri P
27,4693379.3,7514032.275,617.784,Muri P
28,4693379.555,7514032.304,617.672,Muri P
29,4693379.575,7514032.232,617.668,Muri P
30,4693377.502,7514029.695,618.277,Muri P
31,4693370.183,7514041.76,618.618,Muri P
32,4693370.134,7514041.746,618.67,E1
33,4693367.147,7514032.071,618.654,E1
34,4693373.768,7514029.702,618.836,E1
35,4693374.49,7514029.016,618.536,E1
36,4693371.817,7514024.652,618.775,E1
37,4693363.689,7514026.839,618.612,E1
38,4693357.651,7514017.431,618.657,E1
39,4693363.231,7514014.313,618.73,E1
40,4693351.331,7514003.73,618.513,E1
41,4693358.175,7514000.411,618.614,E1
42,4693347.56,7513985.9,618.46,E1
43,4693352.14,7513981.974,618.502,E1
44,4693354.478,7513979.198,618.615,Muri P
45,4693357.526,7513985.574,618.423,Muri P
46,4693355.59,7513978.159,618.693,Puset F
47,4693356.025,7513978.916,618.688,Puset F
48,4693356.714,7513978.448,618.673,Ujembledhes
49,4693360.662,7513989.067,618.79,Nivel
50,4693360.781,7513988.915,618.754,Nivel
51,4693361.011,7513991.181,619.07,Nivel
52,4693361.803,7513991.295,619.142,Nivel
53,4693355.405,7513967.118,618.627,Asfallt 
54,4693352.695,7513968.292,618.638,
55,4693352.242,7513960.27,618.763,Asfallt 
56,4693341.352,7513966.342,618.793,Asfallt 
57,4693323.997,7513976.135,618.87,Asfallt
58,4693311.042,7513992.687,618.815,
59,4693321.62,7513985.994,618.75,Asfallt 
60,4693331.912,7513980.203,618.693,Asfallt 
61,4693339.865,7513975.792,618.657,Asfallt 
62,4693335.926,7513990.201,618.866,
63,4693358.642,7513988.009,618.364,
64,4693358.904,7514048.724,617.787,
65,4693381.818,7514041.634,617.439,
